Type	Period	Title	ShortDescription	FundingInstitution	Program	ProjectType	WebUrl	Logo	ProjectCode	ProjectStatus	ProjectCategory	RelatedResearchAreas	TimeCreated	TimeUpdated	People	CollabEntitites	Institutions	Keywords	Description
Project	01/2012 - 12/2015	VALUE	Validating and Integrating Downscaling Methods for Climate Change Research		7th European FP	International project	http://www.value-cost.eu/			In progress	Research network		15 Dec 2011 - 12:44	7 Sep 2012 - 11:03			IFCA	Regional climate scenarios | Statistical downscaling	
Project	01/2012 - 12/2014	WRF4G	Adaptation of WRF Model to GRID Infrastructures and user-case for wind hindcast over Europe		Spanish R+D Program 2008-2011	National project	https://www.meteo.unican.es/trac/meteo/wiki/WRF4G		CGL2011-28864	Finished	Regular project		31 Jul 2012 - 09:57	12 Jan 2017 - 12:11	Cofiño, A.S. | Fernández-Quiruelas, V. | Blanco, C.		UC	WRF model | GRID computing	
Project	10/2011 - 09/2014	SCI-BUS	SCIentific gateway Based User Support		7th European FP	European project	http://www.sci-bus.eu/		283481	Finished	Regular project		17 Oct 2012 - 10:13	12 Jan 2017 - 11:43	Carlos Blanco | Antonio S. Coﬁno		UC	WS-PGRADE/gUSE | workflow | GateWay	
Project	06/2011 - 05/2013	MORDOR-E	Servicios Océano-Meteorológicos para la monitorización de instalacioens de energías renovables marinas	SODERCAN	Research/Trasfer Contracts	Regional project				In progress	Regular project		10 May 2012 - 13:39	27 May 2014 - 14:28	Fernández, J. | García-Díez, M. | Gutiérrez, J.M. | San-Martín, D.	QUALITAS | Instituto de Hidráulica de Cantabria (IHC)	IFCA | Predictia | UC	WRF model	
Project	03/2011 - 02/2014	CLIM-RUN	Climate Local Information in the Mediterranean region: Responding to User Needs	European Union	7th European FP	European project	http://www.climrun.eu			Finished	Regular project		15 Feb 2011 - 18:35	12 Jan 2017 - 11:43	Frías, M.D. | Gutiérrez, J.M. | Cofiño, A.S. | Casanueva, A. | Herrera, S. | Bedia, J. | Sordo, C.M.		IFCA | UC	wild fires | tourism | Energy resources | stakeholders | Mediterranean basin | extreme events | Statistical downscaling	
Project	01/2011 - 12/2013	CORWES	Coordinated regional climate downscaling experiment using WRF: a contribution to the CORDEX initiative by the spanish WRF community		Spanish R+D Program 2008-2011	National project			CGL2010-22158-C02	Finished	Regular project		21 Dec 2010 - 13:12	12 Jan 2017 - 12:11	Fernández, J. | García-Díez, M. | Fita, L. | Casanueva, A.	Universidad de La Laguna | Universidad de Murcia	UC	Dynamical downscaling | Regional climate scenarios | WRF4G | WRF model	
Project	01/2011 - 12/2013	EXTREMBLES	Análisis de EXTRemos climáticos observados y simulados en España a partir del proyecto ensEMBLES.		Spanish R+D Program 2008-2011	National project			CGL2010-21869	Finished	Regular project		24 Jan 2011 - 09:45	12 Jan 2017 - 12:11	Gutiérrez, J.M. | Rodríguez, M.A. | Frías, M.D. | Sordo, C.M. | Herrera, S. | Casanueva, A. | Bermejo, M. | Fernández, J. | Cofiño, A.S.		IFCA | UC	Extreme analysis | ENSEMBLES | extreme events	
Project	11/2010 - 04/2011	MDSS SpainPilot	Adaptation of NCAR Maintenance Decision Support System (MDSS) to Spain	ALVAC S.A.	Research/Trasfer Contracts	International project				Finished	Regular project		5 Nov 2010 - 12:49	11 Oct 2012 - 11:56		NCAR. Research Applications Laboratory (RAL)		Road maintenance	
Project	11/2010	Earth Science MarketPlace	EARTH SCIENCE MARKETPLACE	INFRA-2011-1.2.1: e-Science environments	7th European FP	European project			INFRA-2011-1.2.1: e-Science environments	Finished	Regular project		24 Jan 2011 - 22:26	11 Oct 2012 - 11:59	Cofiño, A.S. | Fernández-Quiruelas, V. | San-Martín, D. | Fernández, J.		Predictia | UC	web portals | Statistical downscaling | WRF | WRF4G | e-Science	
Project	02/2010 - 07/2013	QWeCI	Quantifying Weather and Climate Impacts on Health in Developing Countries	European Union	7th European FP	European project	http://www.liv.ac.uk/qweci/			In progress	Regular project		8 Jan 2009 - 00:39	27 May 2014 - 14:26	Gutiérrez, J.M. | Manzanas, R. | Frías, M.D. | Cofiño, A.S. | Fernández, J.		IFCA | Predictia | UC	Health | Seasonal prediction | Climate change	
Project	01/2010 - 12/2015	FAO-MOSAICC	FAO-MOSAICC (MOdelling System for Agricultural Impacts of Climate Change), designed to carry out each step of the impact assessment from climate scenarios downscaling to economic impact analysis at national level	FAO (Food and Agriculture Organization of the United Nations)	Research/Trasfer Contracts	European project	http://www.fao.org/climatechange/mosaicc		GCP/GLO/243/EC	In progress	Regular project		8 Feb 2011 - 12:53	25 Feb 2014 - 15:09	Gutiérrez, J.M. | San-Martín, D. | Manzanas, R. | Herrera, S.		IFCA | Predictia	Regional climate scenarios | web portals | Statistical downscaling	
Project	01/2010 - 12/2013	FUME	Forest fires under climate, social and economic changes in Europe, the Mediterranean and other fireaffected areas of the world	European Union	7th European FP	European project	http://fumeproject.uclm.es/		243888	In progress	Regular project		6 Jan 2009 - 13:11	6 Aug 2016 - 08:10	Gutiérrez, J.M. | Bedia, J. | Cofiño, A.S. | Fernández, J. | San-Martín, D.		IFCA | Predictia | UC	wild fires | Regional climate scenarios | Climate change	
Project	10/2009	GO-ESSP: Global Organization for Earth System Science Portals	Collaboration designed to develop a new generation of software infrastructure that will provide distributed access to observed and simulated data from the climate and weather communities.		Collaborative action	International project	http://go-essp.gfdl.noaa.gov/			In progress	Research network		9 Sep 2009 - 20:35	31 May 2011 - 16:53	Cofiño, A.S. | Fernández, J. | San-Martín, D.		Predictia | UC	GRID computing | Climate change	
Project	04/2009	CORDEX: COordinated Regional climate Downscaling Experiment	CORDEX is a WCRP-sponsored program to produce regional climate change scenarios globally, contributing to the IPCC AR5 and to the climate community beyond the AR5.		Collaborative action	International project	http://www.cordex.org/			In progress	Research network		24 Apr 2009 - 12:33	8 Aug 2016 - 10:48	Fernández, J. | García-Díez, M. | Gutiérrez, J.M.		IFCA | UC	Regional climate scenarios	
Project	03/2009	Climate-G	Climate-G focuses on challenging data and metadata management issues needed to allow cross-institutional climate data discovery, access, visualization and sharing.		Collaborative action	European project	http://grelc.unile.it:8080/ClimateG-DDC/			In preparation	Research network		7 May 2009 - 12:08	10 Sep 2009 - 09:16	Cofiño, A.S. | Fernández-Quiruelas, V. | Fernández, J. | García-Torre, F. | Fita, L.		UC	Climate change | e-Science | GRID computing	
Project	01/2009 - 06/2012	ESCENA	Generación de escenarios regionalizados de cambio climático en España con modelos de alta resolución	Ministerio de Medio Ambiente y Medio Rural y Marino	Spanish R+D Program 2008-2011	National project			200800050084265	Finished	Regular project		21 Sep 2009 - 11:02	22 Jun 2017 - 08:07	Fernández, J. | Fita, L. | Frías, M.D. | Fernández-Quiruelas, V. | Magariño, M.E.		UC	Dynamical downscaling | WRF model	
Project	01/2009 - 01/2011	Adaptación de métodos de downscaling estadístico a escalas de tiempo climáticas en la Cornisa Cantábrica	Adaptación de métodos de downscaling estadístico a escalas de tiempo climáticas en la Cornisa Cantábrica		AEMET projects	National project	http://www.boe.es/boe/dias/2008/09/15/pdfs/A37735-37743.pdf			Finished	Regular project		1 Jul 2009 - 07:01	12 Sep 2018 - 08:19	Ancell, R. | Bermejo, M.		AEMET	weather types | Observed climate	
Project	10/2008 - 06/2012	ESTCENA	￼Programa coordinado para la generación de escenarios regionalizados de cambio climático: Regionalización estadística	Ministerio de Medio Ambiente y MRM	Spanish R+D Program 2008-2011	National project			200800050084078	Finished	Regular project		19 May 2009 - 20:10	27 May 2014 - 14:27	Gutiérrez, J.M. | Brands, S. | Herrera, S. | Gaitán, E. | San-Martín, D. | Sordo, C.M. | Tuni, M. | Manzanas, R.	Fundación para la Investigación del Clima | Universidad de Barcelona | Universidad de las Islas Baleares | Universidad de Zaragoza	IFCA | UC	Regional climate scenarios | Climate change	
Project	04/2008 - 03/2010	EELA-2	EELA-2 aims at building a high capacity, production-quality, scalable Grid Facility, providing round-the-clock, worldwide access to distributed computing, storage and network resources needed by the wide spectrum of Applications from European - Latin American Scientific Collaboration	European Comission	7th European FP	European project	http://www.eu-eela.eu		223797	Finished	Regular project		23 May 2008 - 08:11	7 Dec 2014 - 17:02	Cofiño, A.S. | Fernández-Quiruelas, V. | Fernández, J. | García-Torre, F. | Gutiérrez, J.M.		UC	eScience | GRID workflow | CAM model | GRID computing	
Project	03/2008 - 02/2011	METAFOR	Common Metadata for Climate Modelling Digital Repositories	European Union	7th European FP	European project	http://metaforclimate.eu/		211753	Finished	Regular project		3 Nov 2009 - 20:08	11 Oct 2012 - 11:57	Cofiño, A.S. | San-Martín, D.		Predictia | UC	web portals	
